Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-04-25 18:30:01.960123,25,25,26,39,27,102101,0
2021-04-25 18:45:02.107785,23,22,26,40,27,102100,1
2021-04-25 19:00:01.308101,23,19,26,39,27,102100,0
2021-04-25 19:15:01.515198,22,17,27,35,28,102105,0
2021-04-25 19:30:01.756792,22,12,27,35,28,102111,0
2021-04-25 19:45:01.938943,24,6,26,40,27,102127,0
2021-04-25 20:00:02.145266,26,2,27,39,28,102138,1
2021-04-25 20:15:01.358326,25,0,27,40,28,102145,0
2021-04-25 20:30:01.623025,25,0,27,38,28,102156,0
2021-04-25 20:45:01.796864,24,,28,38,29,102154,0
2021-04-25 21:00:01.997054,24,,28,37,29,102166,0
2021-04-25 21:15:01.189186,23,255,27,38,29,102178,0
2021-04-25 21:30:01.451161,22,0,27,39,29,102185,0
2021-04-25 21:45:01.665262,22,,27,39,29,102194,0
2021-04-25 22:00:01.866173,22,,26,40,29,102193,0
2021-04-25 22:15:02.015092,22,0,26,40,28,102200,1
2021-04-25 22:30:01.270516,22,,26,40,28,102201,0
2021-04-25 22:45:01.458948,21,,25,42,27,102203,0
2021-04-25 23:00:01.663467,21,,25,42,27,102198,0
2021-04-25 23:15:01.884731,21,,25,42,27,102198,0
2021-04-25 23:30:02.076955,20,,25,43,27,102199,0
2021-04-25 23:45:01.285447,20,,25,43,27,102198,0
2021-04-26 00:00:01.497997,20,,25,42,27,102200,0
2021-04-26 00:15:01.706126,20,,25,44,26,102185,0
2021-04-26 00:30:01.989218,20,,24,44,26,102177,0
2021-04-26 00:45:01.185776,20,,24,44,26,102177,0
2021-04-26 01:00:01.396323,20,,24,45,26,102170,0
2021-04-26 01:15:01.601507,20,,24,44,26,102171,0
2021-04-26 01:30:01.870211,20,,24,43,26,102156,0
2021-04-26 01:45:02.079509,19,,24,43,26,102149,0
2021-04-26 02:00:01.279558,20,,24,44,26,102136,0
2021-04-26 02:15:01.485675,19,,24,45,26,102132,1
2021-04-26 02:30:01.748107,19,,24,44,26,102123,0
2021-04-26 02:45:01.958502,19,,24,45,26,102115,0
2021-04-26 03:00:02.156480,19,,24,45,26,102100,0
2021-04-26 03:15:01.367757,19,,24,45,25,102087,0
